	Attribute	InformationGain
11	Attribute3	-51.3493661524
12	Attribute9	-51.5402480275
13	Attribute17	-51.6455058487
14	Attribute15	-51.9157988299
15	Attribute16	-51.9398267556
16	Attribute19	-52.0886744223
17	Attribute14	-52.225172854
18	Attribute18	-52.4553405852
19	Attribute10	-52.5342311106
20	Attribute20	-52.8460265277
